# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Dec 17 11:29:45 2014
#
# CONSTRAINT:  where (pl_discmethod like '%Transit%'
# CONSTRAINT:  and pl_pnum > 1
# CONSTRAINT:  )
# CONSTRAINT:  order by pl_hostname asc, pl_orbper asc
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc.[AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc.[AU]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_dens,pl_orbincl,pl_ttvflag,pl_kepflag,st_mass,st_masserr,st_rad,st_raderr,pl_masse,pl_masseerr1,pl_masseerr2,pl_rads,pl_radserr1,pl_radserr2
895,Kepler-122,f,Transit Timing Variations,5,56.26800000,,,,,,,,1,1,0.99,,1.22,0.24,36.00000,19.40000,-16.20000,0.016,0.005,-0.002
896,Kepler-123,b,Transit,2,17.23236600,0.00005600,-0.00005600,0.135000,,,,,0,1,1.03,,1.26,0.24,,,,0.027,0.005,-0.005
897,Kepler-123,c,Transit,2,26.69507400,0.00046800,-0.00046800,0.181000,,,,,0,1,1.03,,1.26,0.24,,,,0.014,0.003,-0.003
898,Kepler-124,b,Transit,3,3.41049300,0.00002100,-0.00002100,0.039000,,,,,0,1,,,0.64,0.03,,,,0.007,0.001,-0.001
899,Kepler-124,c,Transit,3,13.82137500,0.00003700,-0.00003700,0.100000,,,,,0,1,,,0.64,0.03,,,,0.016,0.001,-0.001
900,Kepler-124,d,Transit,3,30.95085100,0.00036100,-0.00036100,0.170000,,,,,0,1,,,0.64,0.03,,,,0.010,0.001,-0.001
901,Kepler-125,b,Transit,2,4.16438900,0.00000300,-0.00000300,0.041000,,,,,0,1,0.55,,0.51,0.02,,,,0.022,0.001,-0.001
902,Kepler-125,c,Transit,2,5.77446400,0.00004700,-0.00004700,0.051000,,,,,0,1,0.55,,0.51,0.02,,,,0.007,0.001,-0.001
903,Kepler-126,b,Transit,3,10.49571100,0.00002800,-0.00002800,0.099000,,,,,0,1,,,1.36,0.02,,,,0.014,0.001,-0.001
904,Kepler-126,c,Transit,3,21.86974100,0.00008200,-0.00008200,0.162000,,,,,0,1,,,1.36,0.02,,,,0.015,0.001,-0.001
905,Kepler-126,d,Transit,3,100.28313400,0.00025500,-0.00025500,0.448000,,,,,0,1,,,1.36,0.02,,,,0.023,0.001,-0.001
906,Kepler-127,b,Transit,3,14.43588900,0.00006300,-0.00006300,0.125000,,,,,0,1,,,1.36,0.04,,,,0.013,0.001,-0.001
907,Kepler-127,c,Transit,3,29.39319500,0.00007300,-0.00007300,0.200000,,,,,0,1,,,1.36,0.04,,,,0.024,0.001,-0.001
908,Kepler-127,d,Transit,3,48.63040800,0.00012800,-0.00012800,0.280000,,,,,0,1,,,1.36,0.04,,,,0.024,0.001,-0.001
909,Kepler-128,b,Transit,2,15.09000000,,,,,,,,1,1,1.18,0.07,1.66,0.04,30.70000,6.00000,-6.00000,0.010,0.000,0.000
910,Kepler-128,c,Transit,2,22.80400000,,,,,,,,1,1,1.18,0.07,1.66,0.04,33.30000,3.30000,-3.30000,0.010,0.000,0.000
911,Kepler-129,b,Transit,2,15.79186000,0.00006800,-0.00006800,0.131000,,,,,0,1,1.18,,1.64,0.05,,,,0.022,0.002,-0.002
912,Kepler-129,c,Transit,2,82.20017000,0.00068000,-0.00068000,0.393000,,,,,0,1,1.18,,1.64,0.05,,,,0.023,0.001,-0.001
913,Kepler-130,b,Transit,3,8.45745800,0.00003900,-0.00003900,0.079000,,,,,0,1,1.00,0.09,1.13,0.03,,,,0.009,0.000,0.000
914,Kepler-130,c,Transit,3,27.50868000,0.00006000,-0.00007000,0.178000,0.005000,-0.005000,,89.340,0,1,1.00,0.09,1.13,0.03,,,,0.027,0.002,-0.002
915,Kepler-130,d,Transit,3,87.51790500,0.00074400,-0.00074400,0.377000,,,,,0,1,1.00,0.09,1.13,0.03,,,,0.015,0.002,-0.002
916,Kepler-131,b,Transit,2,16.09200000,,,,,,6.00000,,0,1,1.02,0.06,1.03,0.10,16.13000,3.50000,-3.50000,0.022,0.002,-0.002
917,Kepler-131,c,Transit,2,25.51690000,,,,,,77.70000,,0,1,1.02,0.06,1.03,0.10,8.25000,5.90000,-5.90000,0.008,0.001,-0.001
918,Kepler-132,b,Transit,3,6.17819600,0.00002200,-0.00002200,0.067000,,,,,0,1,,,1.18,0.23,,,,0.011,0.002,-0.002
919,Kepler-132,c,Transit,3,6.41491400,0.00001900,-0.00001900,0.068000,,,,,0,1,,,1.18,0.23,,,,0.012,0.002,-0.002
920,Kepler-132,d,Transit,3,18.01019900,0.00006700,-0.00006700,0.136000,,,,,0,1,,,1.18,0.23,,,,0.014,0.003,-0.003
921,Kepler-133,b,Transit,2,8.12997600,0.00003800,-0.00003800,0.083000,,,,,0,1,,,1.43,0.24,,,,0.016,0.003,-0.003
922,Kepler-133,c,Transit,2,31.51758600,0.00015800,-0.00015800,0.204000,,,,,0,1,,,1.43,0.24,,,,0.026,0.004,-0.004
923,Kepler-134,b,Transit,2,5.31742900,0.00000800,-0.00000800,0.060000,,,,,0,1,,,1.18,0.23,,,,0.018,0.004,-0.004
924,Kepler-134,c,Transit,2,10.10578500,0.00005300,-0.00005300,0.092000,,,,,0,1,,,1.18,0.23,,,,0.012,0.002,-0.002
925,Kepler-135,b,Transit,2,6.00253000,0.00001600,-0.00001600,0.067000,,,,,0,1,,,1.27,0.24,,,,0.017,0.003,-0.003
926,Kepler-135,c,Transit,2,11.44870800,0.00014500,-0.00014500,0.103000,,,,,0,1,,,1.27,0.24,,,,0.011,0.002,-0.002
927,Kepler-136,b,Transit,2,11.57890000,0.00003000,-0.00003000,0.106000,,,,,0,1,1.20,,1.35,0.25,,,,0.019,0.004,-0.004
928,Kepler-136,c,Transit,2,16.39923500,0.00005100,-0.00005100,0.133000,,,,,0,1,1.20,,1.35,0.25,,,,0.018,0.003,-0.003
929,Kepler-137,b,Transit,2,8.43638700,0.00001800,-0.00001800,0.077000,,,,,0,1,,,0.80,0.06,,,,0.013,0.001,-0.001
930,Kepler-137,c,Transit,2,18.73575300,0.00003500,-0.00003500,0.130000,,,,,0,1,,,0.80,0.06,,,,0.017,0.001,-0.001
931,Kepler-138,b,Transit,3,10.31236400,0.00003600,-0.00003600,0.077000,,,,,1,1,0.57,0.05,0.53,0.04,,,,0.006,0.001,-0.001
932,Kepler-138,c,Transit,3,13.78164000,0.00019000,-0.00014000,,,,5.00000,,1,1,0.57,0.05,0.53,0.04,3.83000,1.51000,-1.26000,0.015,0.002,-0.001
933,Kepler-138,d,Transit,3,23.08933000,0.00071000,-0.00071000,,,,1.31000,,1,1,0.57,0.05,0.53,0.04,1.01000,0.42000,-0.34000,0.015,0.002,-0.001
934,Kepler-139,b,Transit,2,15.77104400,0.00003700,-0.00003700,0.127000,,,,,0,1,1.08,,1.30,0.25,,,,0.027,0.005,-0.005
935,Kepler-139,c,Transit,2,157.07287800,0.00172000,-0.00172000,0.586000,,,,,0,1,1.08,,1.30,0.25,,,,0.031,0.006,-0.006
936,Kepler-140,b,Transit,2,3.25427000,0.00000800,-0.00000800,0.045000,,,,,0,1,,,1.29,0.24,,,,0.015,0.003,-0.003
937,Kepler-140,c,Transit,2,91.35328200,0.00137000,-0.00137000,0.414000,,,,,0,1,,,1.29,0.24,,,,0.017,0.003,-0.003
